nodes,NR,NW,clients,read_s,write_s
8,6,8,10,0.12,0.15
8,7,5,1,0.09,0.11
8,7,5,2,0.1,0.11
8,7,5,3,0.1,0.11
8,7,5,4,0.11,0.11
8,7,5,5,0.11,0.12
8,7,5,6,0.12,0.12
8,7,5,7,0.12,0.13
8,7,5,8,0.12,0.13
8,7,5,9,0.12,0.17
8,7,5,10,0.13,0.13
8,7,6,1,0.1,0.11
8,7,6,2,0.1,0.11
8,7,6,3,0.1,0.12
8,7,6,4,0.11,0.12
8,7,6,5,0.11,0.12
8,7,6,6,0.12,0.13
8,7,6,7,0.12,0.13
8,7,6,8,0.12,0.14
8,7,6,9,0.13,0.18
8,7,6,10,0.13,0.16
8,7,7,1,0.09,0.12
8,7,7,2,0.1,0.12
8,7,7,3,0.1,0.13
8,7,7,4,0.1,0.12
8,7,7,5,0.12,0.13
8,7,7,6,0.11,0.16
8,7,7,7,0.12,0.13
8,7,7,8,0.12,0.16
8,7,7,9,0.12,0.2
8,7,7,10,0.13,0.18
8,7,8,1,0.09,0.13
8,7,8,2,0.1,0.13
8,7,8,3,0.1,0.13
8,7,8,4,0.1,0.13
8,7,8,5,0.11,0.14
8,7,8,6,0.11,0.13
8,7,8,7,0.12,0.14
8,7,8,8,0.12,0.14
8,7,8,9,0.12,0.15
8,7,8,10,0.12,0.15
8,8,5,1,0.09,0.11
8,8,5,2,0.1,0.11
8,8,5,3,0.1,0.11
8,8,5,4,0.11,0.12
8,8,5,5,0.11,0.12
8,8,5,6,0.12,0.12
8,8,5,7,0.12,0.13
8,8,5,8,0.12,0.14
8,8,5,9,0.13,0.13
8,8,5,10,0.13,0.13
8,8,6,1,0.09,0.12
8,8,6,2,0.1,0.12
8,8,6,3,0.1,0.12
8,8,6,4,0.11,0.12
8,8,6,5,0.11,0.13
8,8,6,6,0.11,0.12
8,8,6,7,0.11,0.13
8,8,6,8,0.12,0.14
8,8,6,9,0.12,0.14
8,8,6,10,0.12,0.14
8,8,7,1,0.09,0.12
8,8,7,2,0.1,0.12
8,8,7,3,0.11,0.13
8,8,7,4,0.11,0.13
8,8,7,5,0.12,0.13
8,8,7,6,0.12,0.14
8,8,7,7,0.12,0.14
8,8,7,8,0.12,0.14
8,8,7,9,0.12,0.14
8,8,7,10,0.12,0.15
8,8,8,1,0.09,0.13
8,8,8,2,0.1,0.13
8,8,8,3,0.11,0.13
8,8,8,4,0.11,0.14
8,8,8,5,0.11,0.14
